HDOP,Lat,Lon,NumSats,GPSDate,GPSTime,FixTime,BestTime,EndTime
208,46.71735,-116.99191,5,100318,6041200,43037,43062,43036
232,46.717201,-116.99164,5,100318,6102200,45158,45182,45157
225,46.717335,-116.99174,5,100318,6115200,17581,17608,17580
224,46.717197,-116.99178,5,100318,6122000,11047,11073,11046
198,46.717297,-116.99173,6,100318,6125000,12705,12730,12704
110,46.717346,-116.99176,8,100318,6154000,40385,40410,40384
155,46.717297,-116.99165,6,100318,6165000,6450,6476,6449
154,46.717365,-116.99171,6,100318,6172500,7354,7378,7352
144,46.717369,-116.99177,6,100318,6182200,7916,7940,7915
133,46.717194,-116.99184,6,100318,6205500,4771,4797,4770
178,46.717281,-116.99168,5,100318,6300100,7187,7328,7301
142,46.717503,-116.99165,7,100318,6303800,6737,6763,6736
165,46.717346,-116.99153,6,100318,6331400,5987,6012,5985
191,46.717476,-116.99173,6,100318,6353400,6602,6627,6601
247,46.717628,-116.99181,6,100318,6371800,10408,10433,10406
156,46.717037,-116.99171,7,100318,6410500,7583,7608,7582
170,46.717415,-116.99196,6,100318,16213100,28873,29901,29874
159,46.71735,-116.99205,6,100318,16313100,6049,9188,9161
154,46.717163,-116.99242,6,100318,16415100,8316,8343,8315
188,46.717339,-116.99194,5,100318,16520700,3593,3736,3708
168,46.717365,-116.99197,5,100318,17022700,2869,3013,2985
156,46.717365,-116.9919,6,100318,17124900,4110,4252,4224
161,46.717438,-116.99172,6,100318,17231100,5369,5509,5483
143,46.71735,-116.99189,5,100318,17340100,14649,34785,34760
138,46.717453,-116.99173,5,100318,17435600,4929,9072,9046
138,46.717381,-116.99182,5,100318,17541100,3226,3367,3342
144,46.717308,-116.99214,5,100318,18043900,10557,10704,10676
153,46.717373,-116.99199,5,100318,18145500,3878,6019,5993
163,46.717377,-116.99158,5,100318,18251400,4223,4363,4338
246,46.717331,-116.992,7,100318,18361900,13570,48731,48703
243,46.717289,-116.99196,7,100318,18460400,7927,13065,13040
246,46.717243,-116.99207,7,100318,18561800,6287,6427,6401
