HDOP*100,lat,lon,# Sats,date,time,firstFix (ms),bestFix (ms),endFix (ms),
228,46.73,-117.01,5,50318,23515500,35364,35364,35364,cold start
181,46.73,-117.01,6,50318,23524100,2114,2114,2114,warm start
651,46.72,-116.99,5,60318,4053100,50751,50751,60746,cold start
123,46.72,-116.99,11,60318,4093700,867,1990,1990,hot start
86,46.72,-116.99,12,60318,4174100,726,1873,1884,hot start
117,46.72,-116.99,9,60318,5292000,4774,5925,5939,cold start
78,46.72,-116.99,12,60318,5323600,2415,25509,25523,warm start
78,46.72,-116.99,12,60318,5343400,2816,7242,7257,warm start
9999,46.717403,-116.99178,9999,60318,6273600,960,58993,60016,cold start
77,46.717365,-116.99175,12,60318,6282900,619,761,734,warm start
77,46.717358,-116.99173,12,60318,6291300,780,921,893,warm start
268,46.71735,-116.99168,7,60318,14551300,41181,59328,60000,cold start
219,46.729542,-117.01217,5,60318,15552000,4165,4189,4164,cold start
218,46.717335,-116.99171,7,70318,2443100,20386,21400,21373,cold start
226,46.717381,-116.99174,6,70318,2550900,3138,3284,3259,warm start
215,46.717323,-116.9916,7,70318,3015000,2552,3679,3654,warm start
222,46.717297,-116.99155,6,70318,3083200,2968,3108,3080,warm start
228,46.717346,-116.99165,6,70318,3151200,2991,3139,3112,warm start
239,46.7174,-116.99185,6,70318,3215300,3970,3995,3969,warm start
157,46.717331,-116.99165,7,70318,3290100,3073,32192,32166,warm start
